Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,fast MA,slow MA,Indicator,Position,Indicator_Type
2023-01-03,86.92501220015102,87.29322992241362,85.79467048837759,86.74518585205078,2730000,0.0,0.0,86.34345054626465,82.12846740722657,1,0.0,
2023-01-04,86.92501015771869,87.12196002011486,86.21426327487922,86.68524169921875,5895500,0.0,0.0,86.30287017822266,82.39921264648437,1,0.0,
2023-01-05,86.13720342731014,86.5653633167785,85.42646297602573,86.33415985107422,3590200,0.0,0.0,86.32294807434081,82.65143676757812,1,0.0,
2023-01-06,87.43025277085421,89.28846522196672,87.19904929285845,88.62053680419922,5815700,0.0,0.0,86.4467758178711,82.92723526000977,1,0.0,
2023-01-09,89.05725774659462,89.4254755159134,87.58438666931947,87.60151672363281,4864200,0.0,0.0,86.51204299926758,83.1643894958496,1,0.0,
2023-01-10,87.87553434001177,88.04679567525608,87.1647873856657,87.50731658935547,4275100,0.0,0.0,86.57133140563965,83.40033645629883,1,0.0,
2023-01-11,87.61863342067795,88.16667751839408,86.49685667897792,87.39598846435547,4561600,0.0,0.0,86.60349197387696,83.58349304199218,1,0.0,
2023-01-12,87.7984672244097,87.82415577285627,86.56536463336192,86.86508178710938,4109100,0.0,0.0,86.62094535827637,83.7675309753418,1,0.0,
2023-01-13,86.77942431437127,87.22471416078803,86.6681051193671,87.08769989013672,2772100,0.0,0.0,86.64361038208008,83.95821960449219,1,0.0,
2023-01-17,87.44736567082235,87.73851121808642,86.42834318899709,86.68524169921875,4283900,0.0,0.0,86.69646224975585,84.18043060302735,1,0.0,
2023-01-18,86.49685041594815,86.83937958551925,84.47593550199917,84.998291015625,4271700,0.0,0.0,86.70682144165039,84.38648971557618,1,0.0,
2023-01-19,86.1543263485367,87.30179162137354,85.83748570460966,86.65099334716797,4645400,0.0,0.0,86.78586463928222,84.59786911010742,1,0.0,
2023-01-20,86.93359214301123,87.3275050406542,86.39411296559938,87.19049072265625,4806500,0.0,0.0,86.87877616882324,84.80448043823242,1,0.0,
2023-01-23,87.34460779067143,87.68713697100048,86.46259956123461,86.61673736572266,4815900,0.0,0.0,86.90574951171875,84.97255950927735,1,0.0,
2023-01-24,86.6338601128454,87.25897635136585,85.97449683647784,86.74518585205078,3604500,0.0,0.0,86.92458839416504,85.16908111572266,1,0.0,
2023-01-25,87.77278756038339,89.10864448043378,87.5843961417707,88.56060028076172,12289900,0.0,0.0,86.99866027832032,85.36335388183593,1,0.0,
2023-01-26,88.27798469535516,89.35694922391811,87.72994067235179,89.33126068115234,4156200,0.0,0.0,87.06887779235839,85.55240859985352,1,0.0,
2023-01-27,89.32270224291742,89.44258647346524,88.68046249361096,88.85173034667969,4133400,0.0,0.0,87.1896183013916,85.74100479125977,1,0.0,
2023-01-30,88.47495722259863,89.56248044172398,88.4150151008075,88.91168212890625,5358300,0.0,0.0,87.30265274047852,85.9182861328125,1,0.0,
2023-01-31,89.23708305848172,89.28846015440891,88.46639395356661,89.26277160644531,3540400,0.0,0.0,87.43238563537598,86.1019125366211,1,0.0,
2023-02-01,89.48540410454044,90.44448447177574,89.07436779481088,90.24752807617188,3791700,0.0,0.0,87.60750274658203,86.29762435913086,1,0.0,
2023-02-02,89.56248521856773,89.72518807205061,88.04680203918015,88.63766479492188,4378700,0.0,0.0,87.70512390136719,86.4421989440918,1,0.0,
2023-02-03,88.80033825906646,88.86028036862626,87.16477125067777,87.84982299804688,3530500,0.0,0.0,87.78090705871583,86.56053161621094,1,0.0,
2023-02-06,87.8155889436172,87.91834312765033,87.05346492376718,87.1819076538086,2888700,0.0,0.0,87.70897560119629,86.66110931396484,1,0.0,
2023-02-07,86.42836108511757,87.65289870875634,86.1457739720005,87.51588439941406,3939200,0.0,0.0,87.70469398498535,86.75230133056641,1,0.0,
2023-02-08,86.64242235793442,87.1990314364938,86.53110315550272,86.73661804199219,3875000,0.0,0.0,87.6661590576172,86.8255404663086,1,0.0,
2023-02-09,87.67857312227945,88.40644355700265,86.82225342655784,87.36173248291016,4108300,0.0,0.0,87.66444625854493,86.92176651000976,1,0.0,
2023-02-10,87.49019021783619,87.76421228567968,86.47117412380645,87.65289306640625,3692500,0.0,0.0,87.70383682250977,87.0211100769043,1,0.0,
2023-02-13,88.02110920017525,88.87742896295558,87.82415278012719,88.80892181396484,3787900,0.0,0.0,87.78989791870117,87.1117822265625,1,0.0,
2023-02-14,88.62053110315681,88.689038252675,87.01065228868731,87.09628295898438,3251400,0.0,0.0,87.81044998168946,87.12101989746094,1,0.0,
2023-02-15,86.89077229779006,86.89077229779006,85.86318460431063,86.5824966430664,3035600,0.0,0.0,87.88966026306153,87.08886581420899,1,0.0,
2023-02-16,85.85461666658935,86.7109363836978,84.81847059287225,85.88887023925781,2934300,0.0,0.0,87.85155410766602,87.05670623779297,1,0.0,
2023-02-17,85.85463378818753,87.34462856380281,85.58917018036705,87.19049072265625,4433400,0.0,0.0,87.85155410766602,87.08186401367188,1,0.0,
2023-02-21,86.90789879002133,86.99352946743782,85.34939694151437,85.61486053466797,3871000,0.0,0.0,87.80146026611328,87.07128158569336,1,0.0,
2023-02-22,85.56346322987083,86.67668145801498,84.98116556999867,85.28087615966797,3518000,0.0,0.0,87.72824478149414,87.05097564697266,1,0.0,
2023-02-23,85.40077374837335,85.61485369140395,84.68146174252584,85.48640441894531,4327000,0.0,0.0,87.57453498840331,87.03427276611328,1,0.0,
2023-02-24,84.67289236472683,84.95547944297527,83.43123137223071,84.41600036621094,3561600,0.0,0.0,87.32877197265626,86.98753723144532,1,0.0,
2023-02-27,84.84416502120163,84.92979569220894,83.89364954665726,84.06491088867188,3862700,0.0,0.0,87.08943099975586,86.93851516723633,1,0.0,
2023-02-28,83.65387995727328,83.95359056846829,82.66911092060286,83.31991577148438,4976500,0.0,0.0,86.80984268188476,86.87222549438476,0,-1.0,Death Cross (SELL)
2023-03-01,84.77564745203188,84.87840816453202,83.12295022522484,83.4997329711914,4220200,0.0,0.0,86.52169075012208,86.82965606689453,0,0.0,
2023-03-02,83.23428126069568,84.53589100456061,83.20003421819536,84.22761535644531,3316400,0.0,0.0,86.22069511413574,86.81838623046875,0,0.0,
2023-03-03,84.37318202124615,85.06679891249446,83.89364506267458,84.94691467285156,2465700,0.0,0.0,86.03615760803223,86.81592193603515,0,0.0,
2023-03-06,84.73282148908282,85.72615535729516,84.56156018300486,85.71759033203125,3524800,0.0,0.0,85.92954597473144,86.82362854003907,0,0.0,
2023-03-07,85.53777492423812,85.7090362521869,84.25329536501957,84.98973083496094,3682900,0.0,0.0,85.81993713378907,86.80187774658204,0,0.0,
